fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006134969325153374,0.9723570346832275
0.0,0.09202453987730061,0.9609206914901733
0.00546448087431694,0.09202453987730061,0.9563625454902649
0.00546448087431694,0.12883435582822086,0.9441907405853271
0.01092896174863388,0.12883435582822086,0.9437497854232788
0.01092896174863388,0.17177914110429449,0.9321999549865723
0.02185792349726776,0.17177914110429449,0.9298130869865417
0.02185792349726776,0.2392638036809816,0.9032262563705444
0.0273224043715847,0.2392638036809816,0.9023046493530273
0.0273224043715847,0.26380368098159507,0.8986644148826599
0.03278688524590164,0.26380368098159507,0.8979979157447815
0.03278688524590164,0.3067484662576687,0.8881293535232544
0.03278688524590164,0.31901840490797545,0.8864614963531494
0.03278688524590164,0.37423312883435583,0.8696038126945496
0.03825136612021858,0.37423312883435583,0.865877091884613
0.03825136612021858,0.38650306748466257,0.8622587323188782
0.04918032786885246,0.38650306748466257,0.8572989106178284
0.04918032786885246,0.39263803680981596,0.8563070297241211
0.0546448087431694,0.39263803680981596,0.8543828725814819
0.0546448087431694,0.4785276073619632,0.8267548084259033
0.060109289617486336,0.4785276073619632,0.8256891369819641
0.060109289617486336,0.48466257668711654,0.8228861093521118
0.06557377049180328,0.48466257668711654,0.8211371302604675
0.06557377049180328,0.5950920245398773,0.7668538093566895
0.07103825136612021,0.5950920245398773,0.7659639120101929
0.07103825136612021,0.6073619631901841,0.7558353543281555
0.07650273224043716,0.6073619631901841,0.7516725659370422
0.07650273224043716,0.6257668711656442,0.7430380582809448
0.08196721311475409,0.6257668711656442,0.7354146242141724
0.08196721311475409,0.6380368098159509,0.7159087657928467
0.08743169398907104,0.6380368098159509,0.7146482467651367
0.08743169398907104,0.6625766871165644,0.6945046782493591
0.09289617486338798,0.6625766871165644,0.6811395287513733
0.09289617486338798,0.6687116564417178,0.6777281165122986
0.09836065573770492,0.6687116564417178,0.676768958568573
0.09836065573770492,0.6748466257668712,0.6696497201919556
0.11475409836065574,0.6748466257668712,0.6589164733886719
0.11475409836065574,0.6871165644171779,0.6478757262229919
0.12021857923497267,0.6871165644171779,0.6370128393173218
0.12021857923497267,0.6993865030674846,0.6324375867843628
0.1366120218579235,0.6993865030674846,0.617978572845459
0.1366120218579235,0.7055214723926381,0.6158829927444458
0.14207650273224043,0.7055214723926381,0.6154902577400208
0.14207650273224043,0.7116564417177914,0.6015702486038208
0.15846994535519127,0.7116564417177914,0.58758145570755
0.15846994535519127,0.7177914110429447,0.5860539674758911
0.16939890710382513,0.7177914110429447,0.568538248538971
0.16939890710382513,0.7300613496932515,0.551671028137207
0.19672131147540983,0.7300613496932515,0.5144820213317871
0.19672131147540983,0.7423312883435583,0.5037124752998352
0.20218579234972678,0.7423312883435583,0.49647602438926697
0.20218579234972678,0.7607361963190185,0.49214714765548706
0.21311475409836064,0.7607361963190185,0.48749956488609314
0.21311475409836064,0.7668711656441718,0.48676374554634094
0.22404371584699453,0.7668711656441718,0.4787914454936981
0.22404371584699453,0.7914110429447853,0.4658989906311035
0.22950819672131148,0.7914110429447853,0.46313363313674927
0.22950819672131148,0.7975460122699386,0.45288756489753723
0.24043715846994534,0.7975460122699386,0.44410833716392517
0.24043715846994534,0.8098159509202454,0.4367615282535553
0.25136612021857924,0.8098159509202454,0.42922309041023254
0.25136612021857924,0.8343558282208589,0.42363107204437256
0.2568306010928962,0.8343558282208589,0.4195406436920166
0.2568306010928962,0.8466257668711656,0.410925030708313
0.2677595628415301,0.8466257668711656,0.4102344214916229
0.2677595628415301,0.852760736196319,0.40933188796043396
0.2786885245901639,0.852760736196319,0.4018440246582031
0.2786885245901639,0.8650306748466258,0.38510698080062866
0.32786885245901637,0.8650306748466258,0.3274106979370117
0.32786885245901637,0.8711656441717791,0.32523173093795776
0.33879781420765026,0.8711656441717791,0.3240381181240082
0.33879781420765026,0.8834355828220859,0.3199195861816406
0.36065573770491804,0.8834355828220859,0.27538493275642395
0.36065573770491804,0.8895705521472392,0.26491186022758484
0.41530054644808745,0.8895705521472392,0.24511918425559998
0.41530054644808745,0.8957055214723927,0.24253970384597778
0.4644808743169399,0.8957055214723927,0.2197980135679245
0.4644808743169399,0.901840490797546,0.2195786088705063
0.46994535519125685,0.901840490797546,0.21015837788581848
0.46994535519125685,0.9079754601226994,0.20814193785190582
0.5191256830601093,0.9079754601226994,0.18685515224933624
0.5191256830601093,0.9141104294478528,0.18557307124137878
0.5628415300546448,0.9141104294478528,0.16325953602790833
0.5628415300546448,0.9202453987730062,0.1581551730632782
0.5683060109289617,0.9202453987730062,0.1564614325761795
0.5683060109289617,0.9263803680981595,0.15587201714515686
0.5737704918032787,0.9263803680981595,0.154409259557724
0.5737704918032787,0.9325153374233128,0.1523653119802475
0.5846994535519126,0.9325153374233128,0.15009821951389313
0.5846994535519126,0.9386503067484663,0.1482427716255188
0.5956284153005464,0.9386503067484663,0.14683549106121063
0.5956284153005464,0.950920245398773,0.14275868237018585
0.6174863387978142,0.950920245398773,0.12990206480026245
0.6174863387978142,0.9631901840490797,0.12588050961494446
0.639344262295082,0.9631901840490797,0.12372282147407532
0.6830601092896175,0.9693251533742331,0.12226617336273193
0.6939890710382514,0.9693251533742331,0.11646920442581177
0.6939890710382514,0.9754601226993865,0.11442775279283524
0.6994535519125683,0.9754601226993865,0.11264227330684662
0.6994535519125683,0.9815950920245399,0.10955929011106491
0.8688524590163934,0.9815950920245399,0.06565666943788528
0.8688524590163934,0.9877300613496932,0.06547260284423828
0.9562841530054644,0.9877300613496932,0.04288220778107643
0.9562841530054644,0.9938650306748467,0.04206402972340584
0.994535519125683,0.9938650306748467,0.03013056516647339
0.994535519125683,1.0,0.029298150911927223
1.0,1.0,0.021794505417346954
